DT,PRD_DE,C1_NM,LST_CHN_DE,standardized_DT,normalized_DT
108.3,2016-08-01,충청북도,2016-09-20,-0.02512084134003961,52.53846153846153
108.8,2016-09-01,충청북도,2016-10-18,0.009436929815570684,52.92307692307692
110.7,2016-10-01,충청북도,2016-11-17,0.14075646020689017,54.38461538461539
103.6,2016-11-01,충청북도,2016-12-19,-0.3499638902027766,48.92307692307693
103.1,2016-12-01,충청북도,2017-01-17,-0.38452166135838683,48.53846153846153
104.9,2017-01-01,충청북도,2017-02-27,-0.260113685198189,49.92307692307693
111.1,2017-02-01,충청북도,2017-03-21,0.16840267713137783,54.69230769230769
105.0,2017-03-01,충청북도,2017-04-18,-0.25320213096706734,50.0
106.3,2017-04-01,충청북도,2017-05-17,-0.16335192596248077,51.0
105.8,2017-05-01,충청북도,2017-06-19,-0.19790969711809106,50.615384615384606
102.3,2017-06-01,충청북도,2017-07-18,-0.4398140952073631,47.92307692307693
105.8,2017-07-01,충청북도,2017-08-16,-0.19790969711809106,50.615384615384606
104.6,2017-08-01,충청북도,2017-09-18,-0.28084834789155594,49.692307692307686
104.7,2017-09-01,충청북도,2017-10-17,-0.27393679366043333,49.769230769230774
103.9,2017-10-01,충청북도,2017-11-16,-0.3292292275094096,49.15384615384616
100.8,2017-11-01,충청북도,2017-12-15,-0.543487408674194,46.76923076923077
102.4,2017-12-01,충청북도,2018-01-16,-0.4329025409762405,48.00000000000001
99.0,2018-01-01,충청북도,2018-02-20,-0.6678953848343908,45.38461538461539
101.3,2018-02-01,충청북도,2018-03-19,-0.5089296375185837,47.15384615384615
100.7,2018-03-01,충청북도,2018-04-16,-0.5503989629053156,46.69230769230769
92.5,2018-04-01,충청북도,2018-05-16,-1.1171464098573247,40.38461538461538
93.8,2018-05-01,충청북도,2018-06-15,-1.027296204852738,41.38461538461538
96.7,2018-06-01,충청북도,2018-07-16,-0.826861132150198,43.61538461538462
94.1,2018-07-01,충청북도,2018-08-16,-1.006561542159372,41.61538461538461
93.3,2018-08-01,충청북도,2018-09-17,-1.0618539760083483,41.0
92.3,2018-09-01,충청북도,2018-10-16,-1.130969518319569,40.23076923076923
86.2,2018-10-01,충청북도,2018-11-15,-1.552574326418014,35.53846153846154
85.4,2018-11-01,충청북도,2018-12-20,-1.6078667602669903,34.92307692307693
79.8,2018-12-01,충청북도,2019-01-16,-1.9949137972098263,30.61538461538461
79.7,2019-01-01,충청북도,2019-02-18,-2.001825351440948,30.538461538461537
83.1,2019-02-01,충청북도,2019-03-19,-1.7668325075827984,33.15384615384615
89.1,2019-03-01,충청북도,2019-04-16,-1.352139253715475,37.76923076923077
80.5,2019-04-01,충청북도,2019-05-17,-1.9465329175919717,31.153846153846153
84.1,2019-05-01,충청북도,2019-07-16,-1.697716965271578,33.92307692307692
91.8,2019-06-01,충청북도,2019-07-16,-1.1655272894751791,39.84615384615385
88.7,2019-07-01,충청북도,2019-08-16,-1.3797854706399626,37.46153846153846
92.8,2019-08-01,충청북도,2019-09-19,-1.0964117471639587,40.615384615384606
100.9,2019-09-01,충청북도,2019-10-16,-0.5365758544430713,46.846153846153854
103.6,2019-10-01,충청북도,2019-11-19,-0.3499638902027766,48.92307692307693
103.1,2019-11-01,충청북도,2019-12-17,-0.38452166135838683,48.53846153846153
106.9,2019-12-01,충청북도,2020-01-20,-0.12188260057574783,51.46153846153847
105.7,2020-01-01,충청북도,2020-02-18,-0.20482125134921272,50.53846153846154
106.7,2020-02-01,충청북도,2020-03-16,-0.13570570903799214,51.30769230769231
101.2,2020-03-01,충청북도,2020-04-20,-0.5158411917497053,47.07692307692308
104.7,2020-04-01,충청북도,2020-05-20,-0.27393679366043333,49.769230769230774
120.8,2020-05-01,충청북도,2020-06-22,0.8388234375502177,62.15384615384616
119.6,2020-06-01,충청북도,2020-07-15,0.7558847867767527,61.23076923076923
111.9,2020-07-01,충청북도,2020-08-14,0.22369511098035508,55.307692307692314
110.8,2020-08-01,충청북도,2020-09-15,0.14766801443801186,54.46153846153846
116.3,2020-09-01,충청북도,2020-10-19,0.5278034971497251,58.6923076923077
119.1,2020-10-01,충청북도,2020-11-19,0.7213270156211425,60.84615384615384
